status,site_name,address,city,zip,latitude,longitude
CLOSED,Louise Cabaniss Academy of Young Scholars Library,6080 Mirabella Boulevard,Grand Prairie,75052,32.626577,-97.066277
CLOSED,R. F. Patterson Elementary School Cafeteria,6621 Kelly Elliott Road,Arlington,76001,32.637648,-97.175902
CLOSED,Northeast Branch Library Community Room,1905 Brown Boulevard,Arlington,76006,32.774215,-97.079432
CLOSED,Arlington ISD Dan Dipert Career & Technical Center Seminar Rooms B 102.00 & B 103.00,2101 Browning Drive,Arlington,76010,32.71103,-97.085309
CLOSED,"Elks Lodge 2114 Ballroom, Hallway",601 West Pioneer Parkway,Arlington,76010,32.708055,-97.113955
CLOSED,Louise Blanton Elementary School Front Hallway at Main Entrance,1900 South Collins Street,Arlington,76010,32.714623,-97.097659
CLOSED,Meadowbrook Recreation Center Activity Room,1400 Dugan Street,Arlington,76010,32.733966,-97.092404
CLOSED,Myrtle Thornton Elementary School Family Liaison Room 104,2315 Stonegate Street,Arlington,76010,32.725857,-97.069315
CLOSED,Berta May Pope Elementary School Gym,901 Chestnut Drive,Arlington,76012,32.746372,-97.147238
CLOSED,Lamar High School 1000-1100 Cross Hall,1400 West Lamar Boulevard,Arlington,76012,32.764639,-97.125764
CLOSED,New World United Methodist Church Education Wing,2201 North Davis Drive,Arlington,76012,32.770194,-97.12287
CLOSED,Tabernacle Baptist Church Fellowship Hall,2500 West Randol Mill Road,Arlington,76012,32.754441,-97.145374
CLOSED,Wimbish World Language Academy Library,1601 Wright Street,Arlington,76012,32.7482,-97.12944
CLOSED,Arlington First Church of the Nazarene Worship Center & Foyer,1301 West Green Oaks Boulevard,Arlington,76013,32.725039,-97.181066
CLOSED,Casa de Oracion Family Center Fellowship Hall,2323 James Street,Arlington,76013,32.723392,-97.145872
CLOSED,"Center for Community Service Junior League of Arlington Meeting Rooms C, D & E",4002 West Pioneer Parkway,Arlington,76013,32.715878,-97.169122
CLOSED,Central YMCA Conference Room / Classroom,2200 South Davis Drive,Arlington,76013,32.708862,-97.123403
CLOSED,"Ruby Ray Swift Elementary School Room 202, Family Engagement Liaison",1101 South Fielder Road,Arlington,76013,32.724693,-97.131817
CLOSED,Edify Community Fellowship Church Fellowship Hall,3005 Sprocket Drive,Arlington,76015,32.696664,-97.141797
CLOSED,Foster Elementary School Gym,1025 High Point Road,Arlington,76015,32.684945,-97.12432
CLOSED,Jason B. Little Elementary School Library,3721 Little Road,Arlington,76016,32.686284,-97.189408
CLOSED,Ruth Ditto Elementary School Cafeteria,3001 Quail Lane,Arlington,76016,32.697126,-97.193579
